Filename,Width,Height,Duration (seconds),File Size (bytes)
MAH00146clip1.mp4,1280,720,11.52,4789442
MAH00146clip2.mp4,1280,720,9.35,3911499
MAH00132clip.mp4,1280,720,9.21,3450597
MAH00524clip.mp4,1280,720,6.87,2975428
MAH00129clip.mp4,1280,720,13.2,4739216
MAH00536clip.mp4,1280,720,11.83,4508709
MAH00128clip.mp4,1280,720,9.47,3581117
MAH00523clip.mp4,1280,720,4.12,1910959
MAH00137clip.mp4,1280,720,8.92,3118496
MAH00517clip.mp4,1280,720,10.23,3828650
MAH00529clip.mp4,1280,720,14.08,5430414
MAH00539clip.mp4,1280,720,4.01,1730960
MAH00136clip.mp4,1280,720,9.89,4017451
